106	24	0
106.058987453	23.9280120423	10
106.117909161	23.8560015956	20
106.176765399	23.7839687611	30
106.235556441	23.7119136394	40
106.294282561	23.6398363311	50
106.352944033	23.5677369364	60
106.411541129	23.495615555	70
106.470074121	23.4234722864	80
106.528543279	23.3513072298	90
106.586948875	23.279120484	100
106.645291177	23.2069121476	110
106.703570456	23.1346823187	120
106.761786979	23.0624310952	130
106.819941014	22.9901585746	140
106.878032828	22.9178648542	150
106.936062688	22.8455500309	160
106.994030858	22.7732142013	170
107.051937605	22.7008574618	180
107.109783192	22.6284799082	190
107.167567884	22.5560816363	200
107.225291942	22.4836627415	210
107.282955631	22.4112233188	220
107.34055921	22.3387634631	230
107.398102941	22.2662832687	240
107.455587086	22.1937828298	250
107.513011903	22.1212622403	260
107.570377651	22.0487215938	270
107.627684589	21.9761609836	280
107.684932976	21.9035805026	290
107.742123067	21.8309802435	300
107.799255121	21.7583602987	310
107.856329391	21.6857207604	320
107.913346135	21.6130617204	330
107.970305607	21.5403832702	340
108.02720806	21.467685501	350
108.084053749	21.3949685039	360
108.140842925	21.3222323695	370
108.197575842	21.2494771882	380
108.254252751	21.1767030502	390
108.310873902	21.1039100454	400
108.367439547	21.0310982632	410
108.423949935	20.9582677931	420
108.480405315	20.8854187241	430
108.536805935	20.8125511448	440
108.593152045	20.7396651439	450
108.649443891	20.6667608095	460
108.705681719	20.5938382297	470
108.761865777	20.520897492	480
108.81799631	20.447938684	490
108.874073563	20.3749618929	500
108.93009778	20.3019672054	510
108.986069205	20.2289547083	520
109.041988082	20.155924488	530
109.097854653	20.0828766306	540
109.153669161	20.009811222	550
109.209431846	19.9367283479	560
109.265142951	19.8636280935	570
109.320802715	19.7905105441	580
109.376411378	19.7173757845	590
109.431969181	19.6442238993	600
109.487476361	19.571054973	610
109.542933156	19.4978690896	620
109.598339806	19.4246663331	630
109.653696545	19.351446787	640
109.709003612	19.278210535	650
109.764261243	19.20495766	660
109.819469672	19.131688245	670
109.874629135	19.0584023728	680
109.929739866	18.9851001257	690
109.984802099	18.9117815861	700
110.039816068	18.8384468358	710
110.094782005	18.7650959568	720
110.149700142	18.6917290304	730
110.204570712	18.618346138	740
110.259393946	18.5449473607	750
110.314170074	18.4715327794	760
110.368899327	18.3981024745	770
110.423581934	18.3246565267	780
110.478218125	18.2511950159	790
110.532808129	18.1777180222	800
110.587352172	18.1042256254	810
110.641850485	18.0307179048	820
110.696303292	17.9571949399	830
110.750710822	17.8836568097	840
110.8050733	17.8101035931	850
110.859390952	17.7365353687	860
110.913664003	17.6629522149	870
110.967892678	17.5893542101	880
111.022077202	17.5157414322	890
111.076217797	17.442113959	900
111.130314688	17.3684718682	910
111.184368097	17.294815237	920
111.238378246	17.2211441428	930
111.292345358	17.1474586626	940
111.346269653	17.073758873	950
111.400151352	17.0000448507	960
111.453990677	16.926316672	970
111.507787847	16.8525744132	980
111.561543081	16.7788181502	990
111.615256598	16.7050479589	1000
111.668928618	16.6312639148	1010
111.722559358	16.5574660933	1020
111.776149035	16.4836545696	1030
111.829697868	16.4098294187	1040
111.883206073	16.3359907155	1050
111.936673866	16.2621385346	1060
111.990101464	16.1882729505	1070
112.043489081	16.1143940373	1080
112.096836933	16.0405018692	1090
112.150145234	15.96659652	1100
112.203414198	15.8926780636	1110
112.25664404	15.8187465732	1120
112.309834972	15.7448021224	1130
112.362987208	15.6708447843	1140
112.416100959	15.5968746318	1150
112.469176438	15.5228917378	1160
112.522213856	15.4488961748	1170
112.575213425	15.3748880153	1180
112.628175355	15.3008673317	1190
112.681099857	15.2268341959	1200
112.733987141	15.1527886799	1210
112.786837415	15.0787308554	1220
112.83965089	15.0046607941	1230
112.892427774	14.9305785674	1240
112.945168276	14.8564842464	1250
112.997872603	14.7823779023	1260
113.050540962	14.708259606	1270
113.103173562	14.6341294282	1280
113.155770608	14.5599874395	1290
113.208332307	14.4858337104	1300
113.260858865	14.411668311	1310
113.313350488	14.3374913114	1320
113.365807381	14.2633027817	1330
113.418229748	14.1891027916	1340
113.470617794	14.1148914106	1350
113.522971724	14.0406687083	1360
113.57529174	13.966434754	1370
113.627578047	13.8921896167	1380
113.679830846	13.8179333656	1390
113.732050342	13.7436660694	1400
113.784236735	13.6693877969	1410
113.836390228	13.5950986165	1420
113.888511022	13.5207985967	1430
113.940599319	13.4464878057	1440
113.992655318	13.3721663116	1450
114.044679222	13.2978341824	1460
114.096671229	13.2234914859	1470
114.148631539	13.1491382896	1480
114.200560353	13.0747746612	1490
114.252457868	13.000400668	1500
114.304324284	12.9260163772	1510
114.356159798	12.851621856	1520
114.407964609	12.7772171712	1530
114.459738915	12.7028023897	1540
114.511482913	12.6283775782	1550
114.5631968	12.5539428032	1560
114.614880773	12.4794981311	1570
114.666535027	12.4050436281	1580
114.718159759	12.3305793604	1590
114.769755165	12.256105394	1600
114.821321441	12.1816217948	1610
114.87285878	12.1071286285	1620
114.924367378	12.0326259607	1630
114.97584743	11.9581138569	1640
115.027299129	11.8835923824	1650
115.078722669	11.8090616025	1660
115.130118244	11.7345215822	1670
115.181486047	11.6599723866	1680
115.232826272	11.5854140804	1690
115.284139109	11.5108467285	1700
115.335424752	11.4362703953	1710
115.386683393	11.3616851454	1720
115.437915224	11.2870910432	1730
115.489120435	11.2124881528	1740
115.540299219	11.1378765385	1750
115.591451765	11.0632562641	1760
115.642578265	10.9886273936	1770
115.693678908	10.9139899908	1780
115.744753885	10.8393441193	1790
115.795803385	10.7646898427	1800
115.846827598	10.6900272243	1810
115.897826713	10.6153563275	1820
